"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ID"
"C12orf48",2.42973649689441,-5.45081064705882,5.14513883178436,4.90977695891952e-06,0.100709344981357,2.75395648443585,"C12orf48"
"GPA33",3.36160987701864,2.18125637019608,4.53419940709941,3.85920586421096e-05,0.231994696961255,1.28808492634712,"GPA33"
"SNHG6",1.27100525857143,-0.144692606078431,4.41088000420036,5.79518576721983e-05,0.231994696961255,0.996789916110817,"SNHG6"
"ANKS4B",-2.09193088467816,-6.9116196093791,-4.33952442919251,7.31939079709148e-05,0.231994696961255,0.829221659088432,"ANKS4B"
"ZNF75A",2.21797445341615,-4.7222947254902,4.3362792646084,7.39729697282526e-05,0.231994696961255,0.821619232518713,"ZNF75A"
"C15orf29",2.67558970807453,-5.11032294117647,4.29851316173608,8.36554583620475e-05,0.231994696961255,0.733267016157046,"C15orf29"
"C5orf54",2.59838491782609,-1.89721508019608,4.27967208529573,8.89370591666894e-05,0.231994696961255,0.689274969439913,"C5orf54"
"BICC1",-4.84701823298137,-1.03976744372549,-4.27436815196341,9.04815510769326e-05,0.231994696961255,0.67690133488239,"BICC1"
"PDCD10",2.65562651118012,-3.26265332941176,4.20516706284858,0.000113189051906342,0.257970425855877,0.515897790854892,"PDCD10"
"ELAC1",0.802334289068323,0.836608820980392,4.05279487702411,0.00018441200317137,0.376839093778082,0.16446065106004,"ELAC1"
"C20orf194",-1.87205213664597,-7.03814209803922,-4.02397358422301,0.000202088047560399,0.376839093778082,0.0984981576986694,"C20orf194"
"ALMS1",2.3915398068368,-1.56004324203157,3.90582577701413,0.000293280822877903,0.458038707847724,-0.170051445827522,"ALMS1"
"AP4S1",1.10211518865763,2.07866599980132,3.86779565995364,0.000330307936104861,0.458038707847724,-0.255828121444153,"AP4S1"
"GREB1",0.950752650310559,1.02375720078431,3.84516233238232,0.000354443962240412,0.458038707847724,-0.306716292078726,"GREB1"
"TAS2R50",2.76020167763975,-3.25566548431373,3.7970713181284,0.000411500252839161,0.458038707847724,-0.414432574473864,"TAS2R50"
"USP6NL",1.70405716149068,3.48832594117647,3.79309345594957,0.000416596962024703,0.458038707847724,-0.423316907698865,"USP6NL"
"ANGPT4",1.3523055997699,0.89395101025113,3.78839285975521,0.000422698059810002,0.458038707847724,-0.433810344444086,"ANGPT4"
"PPAP2A",1.22285411470186,0.922783335960784,3.7510882258932,0.000474262358914517,0.458038707847724,-0.516890404994262,"PPAP2A"
"KAL1",-4.0745454731677,-4.40760794,-3.74300129921295,0.000486212868309617,0.458038707847724,-0.534853756072078,"KAL1"
"UBR5",0.467191372670809,6.56447921568627,3.72594747479613,0.000512370576352751,0.458038707847724,-0.572679634677176,"UBR5"
"GPR55",2.57494002229814,-1.20641463823529,3.715724437599,0.000528693905066877,0.458038707847724,-0.595318237467613,"GPR55"
"C1orf182",2.71395924534161,-3.37238430392157,3.71365869350941,0.000532052467305295,0.458038707847724,-0.599889428750052,"C1orf182"
"PFN4",2.24635127372671,-2.33100842333333,3.7136355205774,0.000532090258718088,0.458038707847724,-0.599940700699864,"PFN4"
"C21orf54",1.46306238378882,-0.777534267843137,3.68894162790162,0.000573862067662506,0.458038707847724,-0.654496959027626,"C21orf54"
"C1orf84",1.56749569689441,-0.745857684313725,3.67054891400767,0.000607002315680073,0.458038707847724,-0.695025871295758,"C1orf84"
"TBC1D22A",1.00333244099379,3.15414280392157,3.65956701940545,0.000627657188038772,0.458038707847724,-0.719181069422739,"TBC1D22A"
"AGPHD1",2.55816988773208,-2.5232891292307,3.63682090809124,0.000672603311430496,0.458038707847724,-0.769106945117685,"AGPHD1"
"ASPG",-2.15244941614907,-6.43502429411765,-3.63569383660142,0.000674908796133107,0.458038707847724,-0.771577054544072,"ASPG"
"NOS2",3.37644530434782,-4.82868503921569,3.59769368464367,0.000757226399099331,0.458038707847724,-0.854650338674231,"NOS2"
"ITGB4",-1.39705515403727,2.41294810980392,-3.58152842011496,0.000795085591332634,0.458038707847724,-0.889865409313516,"ITGB4"
"ANAPC4",0.636625060351521,5.21432563203821,3.5798102254433,0.000799214491194764,0.458038707847724,-0.893603978550662,"ANAPC4"
"ZNF598",0.922986094720497,0.907848064901961,3.57557441844378,0.000809481146267655,0.458038707847724,-0.902816904326547,"ZNF598"
"FOXH1",2.1413423447205,-2.87120548039216,3.57455255046607,0.000811976754028388,0.458038707847724,-0.905038701116343,"FOXH1"
"C6orf167",1.81957587329192,-2.30838244705882,3.57059728293359,0.000821705877172896,0.458038707847724,-0.913635589967262,"C6orf167"
"CATSPER4",2.04835177701863,-0.0384626088235294,3.56981782248771,0.000823636294346948,0.458038707847724,-0.915329234380258,"CATSPER4"
"SYDE2",-2.91514077099379,-2.1448071254902,-3.56931594580711,0.000824881540726447,0.458038707847724,-0.91641963970567,"SYDE2"
"KIF26B",2.00369117018634,0.792538763137255,3.56515490201157,0.000835275428586393,0.458038707847724,-0.925457334130628,"KIF26B"
"DHRS11",0.773825888198759,4.34362670588235,3.54685946582439,0.000882480266154921,0.458038707847724,-0.965134563230519,"DHRS11"
"PPAPDC3",-2.81064412422361,-5.59046441176471,-3.54160999344051,0.000896488758803429,0.458038707847724,-0.976500896668091,"PPAPDC3"
"TMEM200B",-2.58922371180124,-3.59998630980392,-3.53481604374202,0.000914934503935031,0.458038707847724,-0.991199274853169,"TMEM200B"
"DLGAP2",4.73309288389441,-2.77323127645098,3.52717714719006,0.000936107337894734,0.458038707847724,-1.00770926906515,"DLGAP2"
"FBXO10",1.09342071552795,2.21973285490196,3.5233200398884,0.000946975179432305,0.458038707847724,-1.0160390432894,"FBXO10"
"NCRNA00219",2.1056238757764,-5.1106902745098,3.51868233071194,0.000960202049407769,0.458038707847724,-1.0260487003397,"NCRNA00219"
"PHOSPHO2",1.39245893397516,-0.0671307441176471,3.5006624126977,0.0010132891695981,0.458704896014952,-1.06487996901775,"PHOSPHO2"
"FLJ42393",1.34830432919255,-1.07961449352941,3.49615083728682,0.00102701246940557,0.458704896014952,-1.07458660832721,"FLJ42393"
"SNORD87",2.01211065714286,-2.75743005882353,3.47159835901166,0.00110485962233379,0.458704896014952,-1.12730206644674,"SNORD87"
"CLUAP1",-2.71184427329193,6.10473492156863,-3.46371407011661,0.00113102951629975,0.458704896014952,-1.14419064125341,"CLUAP1"
"SLC9A7",0.588873826086958,4.67357770588235,3.46052702804062,0.0011417749075616,0.458704896014952,-1.15101198125564,"SLC9A7"
"WDR55",1.00389368322981,4.21654233333333,3.45664034792641,0.00115501089949923,0.458704896014952,-1.15932650070988,"WDR55"
"LOC100130691",1.93942580745341,-6.18769596078431,3.45525117854449,0.0011597770553698,0.458704896014952,-1.16229711636366,"LOC100130691"
"LIME1",2.08910263354037,-5.25122735294118,3.44879703396765,0.00118216771145389,0.458704896014952,-1.1760908179819,"LIME1"
"LOC442308",-1.51483863975156,-7.04036601960784,-3.44482126012043,0.00119616478005544,0.458704896014952,-1.18458128351202,"LOC442308"
"GPS2",1.37562427701863,-1.66284559803922,3.4379825805288,0.00122061102140353,0.458704896014952,-1.19917399653285,"GPS2"
"GGT1",1.4099926378882,4.53551290392157,3.43394864538695,0.00123525348531016,0.458704896014952,-1.20777488780409,"GGT1"
"FZD3",-3.54175001484472,0.876975300980392,-3.42989914934067,0.001250120570271,0.458704896014952,-1.21640377729079,"FZD3"
"DNAJC2",1.6898405552795,-1.67631725490196,3.42930546429495,0.00125231445869917,0.458704896014952,-1.21766839716161,"DNAJC2"
"ADPRHL2",1.67847680470646,-1.38596834831586,3.41953748782899,0.00128894132373013,0.463093380082362,-1.23845925999177,"ADPRHL2"
"C6orf182",1.96894063752174,-0.446874917980392,3.40908602162865,0.00132925922143179,0.463093380082362,-1.26067117417424,"C6orf182"
"DNAH5",-2.69442191304348,-5.89009756862745,-3.40546472391337,0.0013435066440255,0.463093380082362,-1.26835913981929,"DNAH5"
"PAX4",-2.01217296273292,-6.4061048627451,-3.40266972747971,0.00135460232083374,0.463093380082362,-1.27428999256777,"PAX4"
"PRR15",-3.20831359937889,-4.82989568431373,-3.38617308928643,0.00142188741814788,0.47596169021951,-1.30924363383973,"PRR15"
"KIF17",3.04129892670807,-0.392803341176471,3.37970080786319,0.00144914410036934,0.47596169021951,-1.32293316347268,"KIF17"
"MAPK4",-1.14513532919255,-7.28518376470588,-3.37536437031277,0.00146768314388007,0.47596169021951,-1.33209750812197,"MAPK4"
"PPP1R3A",-1.00212363354038,-7.42840888235294,-3.36341297438052,0.00151995099544527,0.47596169021951,-1.35732285681952,"PPP1R3A"
"LOC100133991",2.11509340993789,-3.71263576470588,3.36241334690662,0.00152440195584726,0.47596169021951,-1.35943059952594,"LOC100133991"
"A2M",2.3629345968789,-2.39995124570396,3.35459126245183,0.0015596606250466,0.47596169021951,-1.37591227335413,"A2M"
"KIAA0947",0.48489295031056,6.10799190196078,3.34230762414602,0.0016165971341587,0.47596169021951,-1.40175373779488,"KIAA0947"
"HSPA4",-3.66994016942236,0.719623364882353,-3.34146291787592,0.00162058411848575,0.47596169021951,-1.40352892304279,"HSPA4"
"MTM1",0.575517745341617,5.12719162745098,3.33800682707706,0.00163699415339468,0.47596169021951,-1.41078955471917,"MTM1"
"SIGLEC5",1.67520288037267,-1.24825140352941,3.33775198400223,0.00163821040805145,0.47596169021951,-1.41132477632751,"SIGLEC5"
"GAS5",0.956402283229814,2.34894181764706,3.33581386528167,0.00164748829980427,0.47596169021951,-1.41539450227213,"GAS5"
"MBOAT4",-1.70913265465838,4.60549850588235,-3.32616045784255,0.00169444707294699,0.482729143892898,-1.4356462489757,"MBOAT4"
"HIST1H4G",-1.56727516149069,-6.90691370588235,-3.32028689015668,0.00172363719293234,0.483641857912511,-1.44795295069138,"HIST1H4G"
"TMEM185A",-0.433052149068321,5.09397076470588,-3.31608571380367,0.00174480779473117,0.483641857912511,-1.4567483817151,"TMEM185A"
"TGS1",3.88533727503106,-1.40345295607843,3.29124360156743,0.00187511836431111,0.504377150896939,-1.50863402960106,"TGS1"
"CHURC1",0.77059290242236,0.749474474901961,3.28751626725694,0.00189544827685071,0.504377150896939,-1.51640074885878,"CHURC1"
"NOTCH2",0.7889769689441,2.90590135294118,3.2871157469831,0.00189764520377302,0.504377150896939,-1.5172350358191,"NOTCH2"
"IGFL4",2.18100950931677,-4.71004678431373,3.28343088020315,0.00191797083511901,0.504377150896939,-1.52490804455158,"IGFL4"
"SNORD58C",1.18151356099379,0.330037995294118,3.27813146546036,0.00194756399213739,0.50547011375455,-1.53593479837448,"SNORD58C"
"UCHL5",-4.22535358447205,-0.963286729411765,-3.26897381715333,0.00199972384675569,0.50547011375455,-1.55496659786444,"UCHL5"
"SIX3",-1.63081608695653,-7.01589356862745,-3.26545348656115,0.00202012444616561,0.50547011375455,-1.56227492290715,"SIX3"
"FARS2",0.585874782608697,4.16752417647059,3.26189554419809,0.00204094300601224,0.50547011375455,-1.56965693340617,"FARS2"
"MAPK11",3.36128291366459,-3.83690302941176,3.25704299681671,0.0020696640652337,0.50547011375455,-1.57971784446062,"MAPK11"
"TTC21B",1.12685400310559,1.18168419607843,3.25698948410943,0.00206998291514149,0.50547011375455,-1.57982874770881,"TTC21B"
"PLCE1",1.77127750521739,-0.202882920392157,3.25196511439235,0.00210012795733739,0.506797937187112,-1.59023710076374,"PLCE1"
"LY86",2.65154620484472,0.997491481941177,3.24402831272037,0.00214859424261028,0.511879716531809,-1.60666066173969,"LY86"
"PTPRQ",2.68371180204969,0.574631161176471,3.24040070976302,0.0021710966916082,0.511879716531809,-1.61415982368446,"PTPRQ"
"EYS",0.990852012422361,3.2035327254902,3.23374140372615,0.00221298614698445,0.515826952806193,-1.62791413551154,"EYS"
"C10orf88",0.712497630434783,2.32259953921569,3.21163095819239,0.00235761277348284,0.516902509651542,-1.67346826268205,"C10orf88"
"GPATCH2",0.807501521739129,3.36410425490196,3.21087635643582,0.00236270282142104,0.516902509651542,-1.67501987556762,"GPATCH2"
"MOCOS",-2.79826699937888,-2.05723737254902,-3.20835805253299,0.00237976483739184,0.516902509651542,-1.68019653050878,"MOCOS"
"APCS",1.65619781137525,-5.59139045886392,3.20822878039288,0.00238064381336046,0.516902509651542,-1.68046220216698,"APCS"
"SERTAD1",3.72263241142857,0.0903752474509804,3.20680284290552,0.00239035972272196,0.516902509651542,-1.68339229590273,"SERTAD1"
"GRAMD3",1.17116604198758,1.75691904490196,3.20505831206566,0.00240229734356881,0.516902509651542,-1.68697605469804,"GRAMD3"
"CDC26",1.38789482236025,-2.25785789411765,3.20309084070784,0.00241582803390274,0.516902509651542,-1.69101647742411,"CDC26"
"UQCR10",0.486237857142858,3.43193117647059,3.19753321494454,0.00245443853020075,0.516902509651542,-1.70242211926714,"UQCR10"
"SERPIND1",1.87476579403727,-2.39145638784314,3.19440290066824,0.00247644136764772,0.516902509651542,-1.70884138030197,"SERPIND1"
"ERCC2",0.61103895652174,5.12174592156863,3.19369317714814,0.00248145579690949,0.516902509651542,-1.71029629866587,"ERCC2"
"SNORD115-8",-1.10852691925466,-7.38580192156863,-3.19181098510736,0.00249480052922692,0.516902509651542,-1.71415386637337,"SNORD115-8"
"MTMR7",1.03464761987578,2.38240040980392,3.18311110320177,0.00255736705663814,0.524567130657616,-1.73196757900474,"MTMR7"
"MXD3",-1.0406682136646,2.41155981960784,-3.17829384807705,0.00259264463945406,0.524780201551539,-1.74181940792727,"MXD3"
"DNAJC25-GNG10",0.90761465031056,1.30004730196078,3.16773599293669,0.00267157274618188,0.524780201551539,-1.76338163772232,"DNAJC25-GNG10"
"ELAVL3",-2.1334240621118,-5.42808949019608,-3.15763728307114,0.00274918275997011,0.524780201551539,-1.78396772338383,"ELAVL3"
"GATSL2",-2.7664822836646,-2.92838287666667,-3.1572955370641,0.0027518459190876,0.524780201551539,-1.784663708201,"GATSL2"
"PCDHA11",-3.72605335428571,-4.29517850823529,-3.15667446246857,0.00275669205319772,0.524780201551539,-1.78592845046805,"PCDHA11"
"EEF1A1",-1.30741838378882,0.0349405409803921,-3.15064564773649,0.00280415339650469,0.524780201551539,-1.79819795409658,"EEF1A1"
"NMNAT1",0.710856625465839,1.78775870784314,3.14306722577064,0.00286490579917604,0.524780201551539,-1.81360194947056,"NMNAT1"
"BTN2A3",1.11763805298137,2.01988209588235,3.14017276022373,0.00288843461054781,0.524780201551539,-1.81947962128279,"BTN2A3"
"ATG10",0.950815781987577,2.63334809215686,3.13848437311356,0.00290224320636002,0.524780201551539,-1.82290671275388,"ATG10"
"CLYBL",0.8655125689441,1.95525759411765,3.1349292559126,0.00293152239637566,0.524780201551539,-1.83011940650015,"CLYBL"
"SNORD115-40",-1.29305160248448,-7.21966190196078,-3.13437669124193,0.00293609808584009,0.524780201551539,-1.83124003549692,"SNORD115-40"
"PIK3R6",1.27809417391304,3.97904176470588,3.13345339950366,0.00294375870058597,0.524780201551539,-1.83311226205753,"PIK3R6"
"C9orf57",-2.2224036583851,-5.45840033333333,-3.13166255924346,0.00295867107470511,0.524780201551539,-1.83674276826658,"C9orf57"
"MDP1",1.86295471428571,-4.76233849019608,3.12811437158329,0.0029884270949674,0.524780201551539,-1.84393232226472,"MDP1"
"ALDOB",2.50551517266655,-2.42994344611316,3.11671968531473,0.00308590083714822,0.524780201551539,-1.8669888418684,"ALDOB"
"MINA",0.921045086956523,3.76827831372549,3.11319194143183,0.00311667927231043,0.524780201551539,-1.87411708428257,"MINA"
"FNDC5",1.37435609503106,-2.19771363921569,3.11266934369598,0.00312126323976641,0.524780201551539,-1.87517265630322,"FNDC5"
"DNAJB14",1.23703455850932,-0.202733680588235,3.11010972279714,0.00314380665375911,0.524780201551539,-1.88034122382665,"DNAJB14"
"IGF1",-1.4770218447205,6.79638592156863,-3.10995006171801,0.00314521790009184,0.524780201551539,-1.88066354031872,"IGF1"
"GLYATL2",2.90760296708074,-3.82819179411765,3.10974874421073,0.00314699819696485,0.524780201551539,-1.88106993709718,"GLYATL2"
"MMP20",-3.18972032968944,4.35424754039216,-3.10762280511269,0.00316585627072209,0.524780201551539,-1.88536059955275,"MMP20"
"RNF213",-1.74142597142857,-0.870513898039216,-3.10700504527688,0.00317135597432987,0.524780201551539,-1.8866070668891,"RNF213"
"ADRA2C",4.5534742498974,-3.80949832223237,3.10589442308974,0.00318126605287578,0.524780201551539,-1.88884762790244,"ADRA2C"
"FAM81B",1.85514600600621,0.113943252176471,3.10510004043083,0.00318837217283451,0.524780201551539,-1.89044992150131,"FAM81B"
"GDF9",1.17283501721739,-1.08402991772549,3.10402560016122,0.00319800727349563,0.524780201551539,-1.89261671718835,"GDF9"
"BCL2L1",3.27400203850932,-3.4042498745098,3.09630137557053,0.00326808432368201,0.532023378153694,-1.90818099163519,"BCL2L1"
"COX7A2",-0.591793714285713,5.35819294117647,-3.09150515418945,0.0033123207287904,0.53497891959802,-1.91783386870385,"COX7A2"
"LOC100132707",0.768036525900622,0.696169669411765,3.08270560518225,0.00339494649829286,0.535790962604421,-1.93552087812036,"LOC100132707"
"PDE7B",2.03249764757764,0.386272896470588,3.082384190785,0.00339800083295945,0.535790962604421,-1.93616635385697,"PDE7B"
"RPS18",-3.66907245962733,6.65426005882353,-3.07866006942037,0.003433579012018,0.535790962604421,-1.94364236022584,"RPS18"
"HIST2H2AA3",-4.88866913975155,3.01956844117647,-3.07753646325129,0.00344438179641353,0.535790962604421,-1.94589689772808,"HIST2H2AA3"
"KCNB2",-0.818175062111804,-7.4536567254902,-3.07446895234666,0.00347403668854591,0.535790962604421,-1.95204943265097,"KCNB2"
"NBEAL2",0.637994478260871,4.27035054901961,3.07225059174232,0.00349563161397632,0.535790962604421,-1.95649654995267,"NBEAL2"
"SNORD4A",2.04243548447205,-4.42090080392157,3.07178351378478,0.00350019447099222,0.535790962604421,-1.95743265182067,"SNORD4A"
"MAPKAPK5",0.424908173913046,5.53048184313726,3.06048343914176,0.00361230217103548,0.548855867646517,-1.98005406228791,"MAPKAPK5"
"LMOD3",2.17912835217391,-4.4994399,3.05407250824766,0.00367739327303686,0.5546374324745,-1.99286587186473,"LMOD3"
"PNMAL2",3.14251324192547,-2.94955265196078,3.04996930997992,0.00371962909002835,0.556912641566872,-2.00105740088768,"PNMAL2"
"BEND7",-3.90342619614907,-1.54271197529412,-3.04424813836693,0.00377927881938517,0.558688560982952,-2.01246799574018,"BEND7"
"KATNAL2",1.14198106310559,0.504395565882353,3.04333089190866,0.0037889251405932,0.558688560982952,-2.01429620277744,"KATNAL2"
